code,location,registered,envelopes,valid,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
572900,HolÌn,475,354,350,51,1,0,24,2,30,16,5,5,1,0,0,62,0,26,96,1,2,17,1,1,0,8,1
572918,Holovousy,421,291,289,27,0,0,22,0,26,21,2,1,3,0,1,40,0,13,83,0,1,23,1,0,0,22,3
572926,Ho¯ice,6†867,4†383,4†345,458,8,7,267,8,259,267,74,31,54,2,6,524,3,214,1†472,8,4,192,73,3,14,387,10
549355,Cholenice,185,84,83,5,0,0,10,0,1,8,0,0,1,0,0,8,0,3,27,0,1,1,0,3,0,15,0
572969,Chomutice,527,285,283,13,1,0,18,0,21,36,2,3,1,0,1,21,0,8,112,0,0,12,2,4,0,28,0
549037,ChoteË,162,115,115,22,0,0,2,0,7,3,1,0,1,0,0,10,0,12,34,0,0,7,1,0,0,15,0
549223,Chyjice,131,74,73,11,0,0,8,0,8,3,0,1,0,0,0,3,0,1,22,0,0,7,0,0,1,8,0
572993,Je¯ice,312,198,197,13,0,0,14,0,16,11,1,4,6,0,1,13,0,4,80,1,3,5,3,0,1,21,0
572659,JiËÌn,12†769,8†019,7†956,944,27,13,526,7,452,589,108,69,99,10,11,1†056,1,373,2†544,9,22,407,68,7,7,574,33
573001,JiËÌnÏves,492,240,240,25,1,0,21,0,6,29,1,3,0,0,0,32,0,8,71,1,0,9,2,0,0,29,2
549151,Jinolice,153,120,120,10,0,0,2,0,8,6,1,1,6,1,0,13,0,2,44,0,1,6,0,0,0,18,1
549312,Kac·kova Lhota,132,80,80,5,0,0,6,0,4,9,2,1,0,0,0,9,0,2,30,1,0,4,1,0,1,5,0
549169,Kbelnice,172,124,124,19,0,0,5,0,5,13,4,2,0,0,0,24,0,6,33,0,0,2,1,0,1,7,2
573043,KnÏûnice,220,141,138,14,0,0,11,1,9,10,2,1,1,0,1,17,0,3,41,0,0,8,3,0,0,15,1
573051,KonecchlumÌ,295,192,189,16,0,0,13,0,19,18,2,1,0,1,0,18,1,15,66,0,2,7,0,0,0,10,0
573060,Kopidlno,1†726,842,835,49,3,0,116,0,24,60,8,5,6,1,0,61,0,24,325,3,4,39,5,9,0,88,5
548928,Kostelec,30,21,21,3,0,0,3,0,0,0,0,0,5,0,0,1,0,1,4,0,0,0,0,0,0,4,0
548944,KovaË,107,74,74,4,0,0,6,1,11,1,1,0,2,0,0,2,0,4,40,0,1,0,1,0,0,0,0
572136,Kozojedy,158,60,60,11,0,0,4,0,3,3,2,0,0,0,0,1,0,0,25,0,0,2,0,0,0,9,0
572047,Kyje,49,30,30,2,0,0,3,0,7,1,0,0,0,0,0,4,0,0,9,0,0,1,0,0,0,3,0
573094,L·znÏ BÏlohrad,3†075,1†974,1†960,232,4,2,136,0,179,111,22,20,37,6,0,208,2,91,625,5,6,103,8,2,5,154,2
573108,Lib·Ú,1†397,742,733,80,1,0,32,0,41,69,4,6,6,0,0,50,0,40,317,1,2,12,1,0,0,70,1
573116,Liboöovice,415,284,283,36,1,0,11,0,27,26,0,6,4,0,0,29,0,15,98,1,1,3,0,0,1,23,1
573124,LibuÚ,660,412,409,39,1,4,21,1,49,31,4,5,5,0,1,55,0,12,139,0,1,13,1,0,1,26,0
573086,LÌskovice,172,110,107,10,0,0,9,0,4,6,2,2,0,0,0,16,0,1,41,0,2,3,1,0,0,10,0
573141,Lukavec u Ho¯ic,230,156,153,21,0,0,14,0,12,14,1,2,0,0,0,16,0,4,41,0,0,8,3,1,1,15,0
573159,Luûany,489,327,323,40,0,0,30,0,25,28,3,4,4,1,1,35,0,8,111,0,1,9,2,0,0,21,0
573167,Markvartice,396,238,238,8,1,0,22,0,9,20,7,6,8,0,0,25,0,7,79,1,2,9,1,0,1,30,2
573175,MiletÌn,733,492,490,40,1,0,27,0,115,27,6,2,6,0,2,50,0,18,142,2,0,19,4,0,0,28,1
548863,Milovice u Ho¯ic,217,151,148,7,0,0,7,0,16,9,3,2,0,1,0,24,0,9,46,0,0,5,1,0,0,17,1
573205,MladÏjov,432,279,274,16,0,1,20,0,9,26,8,16,1,0,0,18,0,8,94,0,0,14,4,1,0,36,2
573213,Ml·zovice,474,286,285,25,1,0,27,0,31,27,5,0,7,1,1,15,3,8,103,0,1,13,3,0,1,11,2
573230,NemyËeves,258,143,141,3,4,0,18,0,4,12,0,1,0,0,0,9,0,1,62,0,0,5,1,0,2,19,0
549207,Nevratice,128,77,76,6,0,0,1,0,7,6,0,0,2,0,0,13,0,5,33,0,0,0,0,0,0,3,0
573248,Nov· Paka,7†471,4†886,4†846,491,7,5,305,4,809,294,52,30,77,1,1,595,3,138,1†301,6,6,197,17,7,9,479,12
549185,Oha¯ice,55,35,35,2,0,0,0,0,2,3,1,0,0,0,0,8,0,0,13,0,1,1,1,1,0,2,0
548910,OhaveË,65,45,45,4,0,0,3,0,3,2,2,0,0,0,0,6,0,4,20,0,0,1,0,0,0,0,0
573264,Osek,174,110,109,10,1,0,7,0,10,5,5,5,2,0,0,13,0,3,40,1,1,2,0,0,0,4,0
573272,OstromÏ¯,1†098,674,668,88,0,0,44,0,47,47,4,6,14,0,3,76,1,18,241,0,1,19,5,1,0,48,5
573281,Ostruûno,81,46,46,1,0,0,6,0,4,2,0,1,1,0,0,1,0,0,24,0,0,1,0,0,0,5,0
573299,Pecka,1†063,686,683,75,3,3,45,0,100,37,2,4,9,3,0,61,1,18,223,0,1,33,4,0,2,59,0
548871,PetroviËky,36,27,27,3,0,0,4,0,1,3,0,2,0,0,0,0,0,3,6,0,0,2,0,0,0,3,0
573311,PodhornÌ ⁄jezd a Vojice,539,350,348,47,1,1,25,1,23,23,2,4,4,0,1,32,0,21,112,0,0,7,6,1,0,37,0
573329,PodhradÌ,370,233,231,17,0,0,20,0,12,28,3,1,3,0,0,29,1,8,89,0,2,1,2,0,0,14,1
573345,Pod˘löÌ,211,149,149,15,0,0,7,0,10,8,0,0,2,0,0,15,0,13,57,1,1,12,1,0,0,7,0
